pod_institution,marc_code,oclc_code,registry_name,registry_url
brown,,AS#,Brown University — John Hay Library,https://registry.worldcat.org/registry/Institutions/88446
brown,,RBN,Brown University — Brown University Library,https://registry.worldcat.org/registry/Institutions/105271
brown,RPB-JH,,Brown University — John Hay Library,https://registry.worldcat.org/registry/Institutions/88446
brown,RPJCB,,Brown University — Brown University Library,https://registry.worldcat.org/registry/Institutions/105271
chicago,,CGU,University of Chicago,https://www.oclc.org/research/activities/shares/partners/cgu.html
chicago,,IAB,University of Chicago — John Crerar Library,
chicago,ICU,,University of Chicago Library,https://registry.worldcat.org/registry/Institutions/110147
chicago,ICU-L,,University of Chicago — D'Angelo Law Library,https://registry.worldcat.org/registry/Institutions/4456
chicago,,ILUCL,University of Chicago Laboratory School,https://registry.worldcat.org/registry/Institutions/4455
chicago,,ILUCP,University of Chicago Press,https://registry.worldcat.org/registry/Institutions/134968
chicago,,KEH,University of Chicago — D'Angelo Law Library,https://registry.worldcat.org/registry/Institutions/4456
columbia,,AVERY,"Columbia University, Avery Architectural & Fine Arts Library",https://registry.worldcat.org/registry/Institutions/143787
columbia,,I7L,"Columbia University, Institute for Learning Tech — Teachers College, Institute for Learning Tech",https://registry.worldcat.org/registry/Institutions/3852
columbia,,LXC,Columbia University in the City of New York — School of Library Science,https://registry.worldcat.org/registry/Institutions/3853
columbia,NNC,,Columbia University in the City of New York — Preservation II,https://registry.worldcat.org/registry/Institutions/4864
columbia,NNC-EA,,Columbia University in the City of New York — East Asian Library,https://registry.worldcat.org/registry/Institutions/4859
columbia,NNC-M,,Columbia University Irving Medical Center — Augustus C. Long Health Sciences Library,https://registry.worldcat.org/registry/Institutions/3857
columbia,NNC-RB,,Columbia University in the City of New York — Bakhmeteff Archive,https://registry.worldcat.org/registry/Institutions/3850
columbia,NNC-T,,Columbia University in the City of New York — Teacher's College,https://registry.worldcat.org/registry/Institutions/3851
columbia,,PR@,Columbia University in the City of New York — Preservation II,https://registry.worldcat.org/registry/Institutions/4864
columbia,,PR0,Columbia University in the City of New York — Preservation,https://registry.worldcat.org/registry/Institutions/113638
columbia,,RQO,"Columbia University, Latin American Project",https://registry.worldcat.org/registry/Institutions/141683
columbia,,RW4,Columbia University in the City of New York — Bakhmeteff Archive,https://registry.worldcat.org/registry/Institutions/3850
columbia,,UCVJL,The School at Columbia University,https://registry.worldcat.org/registry/Institutions/86447
columbia,,VVT,Columbia University in the City of New York — Teacher's College,https://registry.worldcat.org/registry/Institutions/3851
columbia,,ZCA,Columbia University in the City of New York — East Asian Library,https://registry.worldcat.org/registry/Institutions/4859
columbia,,ZCH,Columbia University Irving Medical Center — Augustus C. Long Health Sciences Library,https://registry.worldcat.org/registry/Institutions/3857
columbia,,ZCL,Columbia University in the City of New York — Columbia University Libraries,https://registry.worldcat.org/registry/Institutions/4865
columbia,,ZCU,Columbia University in the City of New York — Columbia University Libraries,https://registry.worldcat.org/registry/Institutions/4861
cornell,,6FS,Cornell University Library — Veterinary Library (Flower-Sprecher Veterinary Library),https://registry.worldcat.org/registry/Institutions/89001
cornell,,AX0,Cornell University Library — Mann Library (Albert R. Mann Library),https://registry.worldcat.org/registry/Institutions/3916
cornell,,CLR,Cornell University Library — Industrial and Labor Relations Library (Martin P. Catherwood Library),https://registry.worldcat.org/registry/Institutions/88614
cornell,,COO,Cornell University Library,https://registry.worldcat.org/registry/Institutions/3913
cornell,,CW1,Cornell University Library — Hotel School Library (Nestlé Library),https://registry.worldcat.org/registry/Institutions/88607
cornell,NIC,,Cornell University Library,https://registry.worldcat.org/registry/Institutions/3913
cornell,NNCorM,,Weill Cornell Medical College of Cornell University — Samuel J. Wood Library & C.V. Starr Biomedical Information Center,https://registry.worldcat.org/registry/Institutions/1881
